Date,Close
12/15/2017,14.47
12/18/2017,14.73
12/19/2017,14.75
12/20/2017,14.72
12/21/2017,14.65
12/22/2017,14.59
12/27/2017,14.44
12/28/2017,14.34
12/29/2017,14.32
1/2/2018,14.21
1/3/2018,14.43
1/4/2018,14.56
1/5/2018,14.56
1/8/2018,14.72
1/9/2018,14.73
1/10/2018,14.78
1/11/2018,14.68
1/12/2018,14.76
1/15/2018,14.8
1/16/2018,14.74
1/17/2018,14.72
1/18/2018,14.82
1/19/2018,14.69
1/22/2018,14.8
1/23/2018,15.03
1/24/2018,15.04
1/25/2018,14.81
1/29/2018,15.02
1/30/2018,14.89
1/31/2018,14.93
2/1/2018,15.04
2/2/2018,14.98
2/5/2018,14.71
2/6/2018,14
2/7/2018,14.53
2/8/2018,14.54
2/9/2018,14.1
2/12/2018,14.26
2/13/2018,14.35
2/14/2018,14.44
2/15/2018,14.71
2/16/2018,14.86
2/19/2018,14.92
2/20/2018,14.84
2/21/2018,14.97
2/22/2018,14.93
2/23/2018,15.07
2/26/2018,15.22
2/27/2018,15.46
2/28/2018,15.39
3/1/2018,15.41
3/2/2018,15.11
3/5/2018,15.16
3/6/2018,15.36
3/7/2018,15.2
3/8/2018,15.33
3/9/2018,15.52
3/12/2018,15.71
3/13/2018,15.72
3/14/2018,15.48
3/15/2018,15.5
3/16/2018,15.67
3/19/2018,15.7
3/20/2018,15.49
3/21/2018,15.55
3/22/2018,15.39
3/23/2018,14.87
3/26/2018,14.8
3/27/2018,15.22
3/28/2018,14.7
3/29/2018,14.65
4/3/2018,14.44
4/4/2018,14.48
4/5/2018,14.9
4/6/2018,14.7
4/9/2018,14.67
4/10/2018,14.78
4/11/2018,14.75
4/12/2018,14.75
4/13/2018,14.83
4/16/2018,14.86
4/17/2018,15.01
4/18/2018,15.26
4/19/2018,15.22
4/20/2018,15.23
4/23/2018,15.11
4/24/2018,15.21
4/26/2018,15.02
4/27/2018,15.49
4/30/2018,15.35
5/1/2018,15.23
5/2/2018,15.52
5/3/2018,15.29
5/4/2018,15.31
5/7/2018,15.73
5/8/2018,15.75
5/9/2018,15.92
5/10/2018,16.08
5/11/2018,16.02
5/14/2018,16.02
5/15/2018,16.06
5/16/2018,15.97
5/17/2018,15.91
5/18/2018,15.99
5/21/2018,15.97
5/22/2018,15.82
5/23/2018,15.82
5/24/2018,15.93
5/25/2018,16.03
5/28/2018,16.06
5/29/2018,16.05
5/30/2018,16.07
5/31/2018,16.05
6/1/2018,16.09
6/4/2018,16.26
6/5/2018,16.26
6/6/2018,16.3
6/7/2018,16.37
6/8/2018,16.27
6/12/2018,16.35
6/13/2018,16.57
6/14/2018,16.51
6/15/2018,16.97
6/18/2018,16.83
6/19/2018,16.87
6/20/2018,17.01
6/21/2018,17.28
6/22/2018,16.95
6/25/2018,16.75
6/26/2018,16.51
6/27/2018,16.61
6/28/2018,16.5
6/29/2018,16.61
7/2/2018,16.45
7/3/2018,16.7
7/4/2018,16.42
7/5/2018,16.48
7/6/2018,16.66
7/9/2018,16.78
7/10/2018,16.93
7/11/2018,16.85
7/12/2018,17.07
7/13/2018,17.27
7/16/2018,17.18
7/17/2018,17
7/18/2018,17.42
7/19/2018,17.26
7/20/2018,17.31
7/23/2018,17.09
7/24/2018,17.43
7/25/2018,17.31
7/26/2018,17.22
7/27/2018,17.43
7/30/2018,16.96
7/31/2018,16.79
8/1/2018,16.95
8/2/2018,16.99
8/3/2018,17.33
8/6/2018,17.33
8/7/2018,17.41
8/8/2018,17.4
8/9/2018,17.37
8/10/2018,17.56
8/13/2018,17.56
8/14/2018,17.71
8/15/2018,17.86
8/16/2018,17.64
8/17/2018,17.56
8/20/2018,17.52
8/21/2018,17.38
8/22/2018,17.36
8/23/2018,17.62
8/24/2018,17.68
8/27/2018,17.77
8/28/2018,17.9
8/29/2018,17.99
8/30/2018,18.21
